osmid,y,x,street_count,highway,geometry
549502729,36.5884475,139.9339957,4,traffic_signals,POINT (139.9339957 36.5884475)
558287152,36.5859683,139.9369417,3,,POINT (139.9369417 36.5859683)
614978749,36.5425471,139.9428055,3,,POINT (139.9428055 36.5425471)
614978763,36.5452459,139.9383121,3,,POINT (139.9383121 36.5452459)
619215522,36.5363378,139.9312252,4,traffic_signals,POINT (139.9312252 36.5363378)
619215529,36.5364704,139.9308613,4,traffic_signals,POINT (139.9308613 36.5364704)
619215557,36.5390729,139.9333835,3,,POINT (139.9333835 36.5390729)
619215559,36.5391896,139.9331942,3,,POINT (139.9331942 36.5391896)
619215564,36.5406105,139.9347035,3,,POINT (139.9347035 36.5406105)
619215567,36.5406875,139.9345568,3,,POINT (139.9345568 36.5406875)
619215576,36.5453906,139.9379114,4,traffic_signals,POINT (139.9379114 36.5453906)
619215578,36.5455041,139.9375901,4,traffic_signals,POINT (139.9375901 36.5455041)
619215594,36.5511558,139.9404639,3,,POINT (139.9404639 36.5511558)
619215597,36.55163,139.9404108,3,,POINT (139.9404108 36.55163)
619215600,36.5486665,139.9396647,3,,POINT (139.9396647 36.5486665)
619215602,36.5490593,139.9396537,3,,POINT (139.9396537 36.5490593)
619215617,36.5569932,139.9411213,4,traffic_signals,POINT (139.9411213 36.5569932)
619215621,36.5569481,139.9415713,4,traffic_signals,POINT (139.9415713 36.5569481)
619215623,36.5568784,139.9410956,4,traffic_signals,POINT (139.9410956 36.5568784)
619215631,36.561575,139.9420097,3,,POINT (139.9420097 36.561575)
619215633,36.5618248,139.9422204,3,,POINT (139.9422204 36.5618248)
619215639,36.5570562,139.9415817,4,traffic_signals,POINT (139.9415817 36.5570562)
619215643,36.5577076,139.9440572,4,,POINT (139.9440572 36.5577076)
619215644,36.5576,139.9440369,4,,POINT (139.9440369 36.5576)
619215656,36.5582828,139.9453401,4,traffic_signals,POINT (139.9453401 36.5582828)
619215657,36.5581904,139.9453385,4,traffic_signals,POINT (139.9453385 36.5581904)
619215662,36.5597016,139.9455711,4,traffic_signals,POINT (139.9455711 36.5597016)
619215678,36.5741688,139.9166138,3,,POINT (139.9166138 36.5741688)
619215679,36.5746283,139.9166768,3,,POINT (139.9166768 36.5746283)
619215680,36.5754318,139.9168923,3,,POINT (139.9168923 36.5754318)
619215681,36.5760658,139.9172141,3,,POINT (139.9172141 36.5760658)
619215690,36.5677943,139.9426671,3,,POINT (139.9426671 36.5677943)
619215691,36.5683756,139.9423923,3,,POINT (139.9423923 36.5683756)
619215708,36.5715121,139.9416145,5,traffic_signals,POINT (139.9416145 36.5715121)
619215721,36.5783993,139.9273534,3,,POINT (139.9273534 36.5783993)
619215723,36.5782412,139.9311131,3,,POINT (139.9311131 36.5782412)
619215725,36.5828766,139.9261946,4,traffic_signals,POINT (139.9261946 36.5828766)
619215733,36.5808807,139.9274915,3,traffic_signals,POINT (139.9274915 36.5808807)
619215735,36.5807106,139.9312852,4,traffic_signals,POINT (139.9312852 36.5807106)
619215745,36.5837083,139.9314883,3,,POINT (139.9314883 36.5837083)
619215749,36.5752729,139.9411615,4,,POINT (139.9411615 36.5752729)
619215751,36.5748916,139.941083,3,,POINT (139.941083 36.5748916)
619215757,36.5818656,139.9396167,4,,POINT (139.9396167 36.5818656)
619215778,36.5716256,139.9463307,3,,POINT (139.9463307 36.5716256)
619215833,36.5858967,139.9304071,4,traffic_signals,POINT (139.9304071 36.5858967)
619215837,36.585597,139.9299874,3,,POINT (139.9299874 36.585597)
619215856,36.5886219,139.9342621,5,traffic_signals,POINT (139.9342621 36.5886219)
619223604,36.5835798,139.9357546,3,,POINT (139.9357546 36.5835798)
619223610,36.5838995,139.9359615,3,,POINT (139.9359615 36.5838995)
619223612,36.5839582,139.9349598,3,,POINT (139.9349598 36.5839582)
619223615,36.5822828,139.9352523,4,traffic_signals,POINT (139.9352523 36.5822828)
619223620,36.5893143,139.925239,3,traffic_signals,POINT (139.925239 36.5893143)
619223621,36.5868734,139.9317783,3,,POINT (139.9317783 36.5868734)
700740924,36.5585431,139.8959478,3,,POINT (139.8959478 36.5585431)
700740932,36.5717814,139.9030409,3,traffic_signals,POINT (139.9030409 36.5717814)
700740933,36.5721466,139.9032824,3,,POINT (139.9032824 36.5721466)
700740935,36.573317,139.9040575,3,,POINT (139.9040575 36.573317)
700740939,36.5722709,139.9108063,4,traffic_signals,POINT (139.9108063 36.5722709)
700740940,36.5741672,139.9046241,4,traffic_signals,POINT (139.9046241 36.5741672)
700740941,36.5739828,139.9053242,4,,POINT (139.9053242 36.5739828)
700742822,36.5805195,139.9092156,3,traffic_signals,POINT (139.9092156 36.5805195)
700777190,36.5708673,139.9163937,4,traffic_signals,POINT (139.9163937 36.5708673)
700868520,36.5546652,139.8964872,3,,POINT (139.8964872 36.5546652)
700868521,36.5537089,139.9000092,3,,POINT (139.9000092 36.5537089)
700868525,36.552426,139.9059697,4,,POINT (139.9059697 36.552426)
700883898,36.5624399,139.9082025,4,traffic_signals,POINT (139.9082025 36.5624399)
700883927,36.5627641,139.9157921,4,traffic_signals,POINT (139.9157921 36.5627641)
700886230,36.5627943,139.9167782,3,traffic_signals,POINT (139.9167782 36.5627943)
701781989,36.5692938,139.9084858,3,,POINT (139.9084858 36.5692938)
701781995,36.5704856,139.9088129,4,,POINT (139.9088129 36.5704856)
701781998,36.5702299,139.9099684,3,,POINT (139.9099684 36.5702299)
701782002,36.5705876,139.9083235,3,,POINT (139.9083235 36.5705876)
701782005,36.5706981,139.9075649,3,,POINT (139.9075649 36.5706981)
701782015,36.5713109,139.9071001,3,,POINT (139.9071001 36.5713109)
701782024,36.5720993,139.906519,4,,POINT (139.906519 36.5720993)
701782030,36.5679637,139.9161756,4,traffic_signals,POINT (139.9161756 36.5679637)
701782036,36.5680607,139.9137654,3,traffic_signals,POINT (139.9137654 36.5680607)
701782038,36.5691587,139.9138453,3,traffic_signals,POINT (139.9138453 36.5691587)
701817186,36.5715855,139.9072273,3,,POINT (139.9072273 36.5715855)
701817187,36.5713577,139.9077831,3,,POINT (139.9077831 36.5713577)
701853707,36.5749201,139.8900487,4,traffic_signals,POINT (139.8900487 36.5749201)
701853720,36.5725541,139.9035453,3,,POINT (139.9035453 36.5725541)
701853724,36.5723483,139.904392,3,,POINT (139.904392 36.5723483)
701853725,36.5719437,139.9042536,3,,POINT (139.9042536 36.5719437)
701853727,36.5696525,139.9092957,3,,POINT (139.9092957 36.5696525)
701853728,36.570938,139.9080648,4,traffic_signals,POINT (139.9080648 36.570938)
701853729,36.5714493,139.9076778,3,,POINT (139.9076778 36.5714493)
701853736,36.5726634,139.9072955,3,,POINT (139.9072955 36.5726634)
701853737,36.5722658,139.9085534,4,,POINT (139.9085534 36.5722658)
702318538,36.5636197,139.896752,4,,POINT (139.896752 36.5636197)
702318539,36.5639901,139.8926741,4,,POINT (139.8926741 36.5639901)
702318540,36.5640665,139.8893924,4,traffic_signals,POINT (139.8893924 36.5640665)
702319479,36.5593614,139.896273,4,traffic_signals,POINT (139.896273 36.5593614)
702319480,36.5594505,139.896311,4,traffic_signals,POINT (139.896311 36.5594505)
702339682,36.5616356,139.8887713,4,traffic_signals,POINT (139.8887713 36.5616356)
702347479,36.5725424,139.8998958,3,,POINT (139.8998958 36.5725424)
702347480,36.5718241,139.9098982,4,,POINT (139.9098982 36.5718241)
702347481,36.5686898,139.9178468,3,,POINT (139.9178468 36.5686898)
702347484,36.5708088,139.9179427,4,traffic_signals,POINT (139.9179427 36.5708088)
702347485,36.5707925,139.9184297,3,,POINT (139.9184297 36.5707925)
702348799,36.5611277,139.8858765,4,traffic_signals,POINT (139.8858765 36.5611277)
702348800,36.5615545,139.8836969,3,,POINT (139.8836969 36.5615545)
957791320,36.5514399,139.8833256,4,traffic_signals,POINT (139.8833256 36.5514399)
957791322,36.555999,139.8829628,3,traffic_signals,POINT (139.8829628 36.555999)
957791324,36.5540599,139.8832501,3,,POINT (139.8832501 36.5540599)
957791326,36.5532765,139.8831811,4,,POINT (139.8831811 36.5532765)
957791327,36.5528771,139.8833682,4,,POINT (139.8833682 36.5528771)
957791329,36.5566595,139.8842362,3,,POINT (139.8842362 36.5566595)
957791331,36.5559081,139.8842911,4,traffic_signals,POINT (139.8842911 36.5559081)
957791334,36.55595,139.8834835,3,,POINT (139.8834835 36.55595)
957791335,36.5559041,139.8851671,3,traffic_signals,POINT (139.8851671 36.5559041)
957791342,36.5574191,139.8842018,4,traffic_signals,POINT (139.8842018 36.5574191)
957791349,36.5564875,139.8899609,4,traffic_signals,POINT (139.8899609 36.5564875)
963242535,36.5421219,139.9441594,4,traffic_signals,POINT (139.9441594 36.5421219)
1002584529,36.5653249,139.9427496,4,traffic_signals,POINT (139.9427496 36.5653249)
1002584554,36.5608986,139.8885806,4,traffic_signals,POINT (139.8885806 36.5608986)
1002584647,36.5602093,139.9417204,4,traffic_signals,POINT (139.9417204 36.5602093)
1002584660,36.5601723,139.9420234,4,traffic_signals,POINT (139.9420234 36.5601723)
1002584688,36.5653275,139.9425199,4,traffic_signals,POINT (139.9425199 36.5653275)
1002584698,36.5599426,139.9443519,3,,POINT (139.9443519 36.5599426)
1002584719,36.5608012,139.8885564,4,traffic_signals,POINT (139.8885564 36.5608012)
1024886722,36.5587158,139.8973077,3,,POINT (139.8973077 36.5587158)
1024886744,36.5586673,139.8974409,3,,POINT (139.8974409 36.5586673)
1024886785,36.5586455,139.8975728,3,,POINT (139.8975728 36.5586455)
1024886791,36.5595935,139.8976617,3,,POINT (139.8976617 36.5595935)
1024886793,36.5591054,139.8973299,3,,POINT (139.8973299 36.5591054)
1024886805,36.5596221,139.8974865,3,,POINT (139.8974865 36.5596221)
1024886811,36.5586429,139.8976206,3,,POINT (139.8976206 36.5586429)
1024886827,36.5595729,139.8977906,3,,POINT (139.8977906 36.5595729)
1069377522,36.5568595,139.9383691,4,,POINT (139.9383691 36.5568595)
1069377526,36.5574314,139.9205372,3,,POINT (139.9205372 36.5574314)
1069377557,36.5584739,139.9019492,4,traffic_signals,POINT (139.9019492 36.5584739)
1069377559,36.5582026,139.9056977,4,traffic_signals,POINT (139.9056977 36.5582026)
1069377565,36.5578237,139.9087981,3,,POINT (139.9087981 36.5578237)
1069377575,36.5573608,139.9227388,4,traffic_signals,POINT (139.9227388 36.5573608)
1069377580,36.5580782,139.9007863,3,,POINT (139.9007863 36.5580782)
1069377598,36.5583647,139.9034752,4,traffic_signals,POINT (139.9034752 36.5583647)
1069377604,36.5580505,139.9076685,4,traffic_signals,POINT (139.9076685 36.5580505)
1069377608,36.5582064,139.9034499,4,traffic_signals,POINT (139.9034499 36.5582064)
1069377616,36.5570695,139.9266076,4,traffic_signals,POINT (139.9266076 36.5570695)
1069377620,36.5576076,139.915851,4,traffic_signals,POINT (139.915851 36.5576076)
1069377640,36.5588153,139.9009941,3,,POINT (139.9009941 36.5588153)
1069377657,36.5580618,139.9056839,4,traffic_signals,POINT (139.9056839 36.5580618)
1069377689,36.5573528,139.918237,4,traffic_signals,POINT (139.918237 36.5573528)
1069377693,36.5575015,139.9181967,4,traffic_signals,POINT (139.9181967 36.5575015)
1069377735,36.5572085,139.9227643,4,traffic_signals,POINT (139.9227643 36.5572085)
1069377737,36.5573207,139.9204778,3,,POINT (139.9204778 36.5573207)
1069377768,36.5568756,139.9399254,3,,POINT (139.9399254 36.5568756)
1069377782,36.5567677,139.9383874,4,,POINT (139.9383874 36.5567677)
1069377814,36.5572328,139.92671,4,traffic_signals,POINT (139.92671 36.5572328)
1069377826,36.5574607,139.9155326,4,traffic_signals,POINT (139.9155326 36.5574607)
1069377841,36.557909,139.9076501,4,traffic_signals,POINT (139.9076501 36.557909)
1069390971,36.557505,139.9143387,3,,POINT (139.9143387 36.557505)
1069390976,36.557826,139.9114976,3,,POINT (139.9114976 36.557826)
1069390986,36.5578941,139.9103,3,,POINT (139.9103 36.5578941)
1069390988,36.5575446,139.912125,4,traffic_signals,POINT (139.912125 36.5575446)
1069391009,36.557971,139.9088061,3,,POINT (139.9088061 36.557971)
1069391013,36.5577738,139.91233,4,traffic_signals,POINT (139.91233 36.5577738)
1069391023,36.5576193,139.9143271,3,,POINT (139.9143271 36.5576193)
1119987007,36.5710219,139.9139634,4,traffic_signals,POINT (139.9139634 36.5710219)
1119987013,36.5612218,139.8868164,4,traffic_signals,POINT (139.8868164 36.5612218)
1119987058,36.5707368,139.9102656,3,,POINT (139.9102656 36.5707368)
1119987073,36.5544741,139.8894846,4,traffic_signals,POINT (139.8894846 36.5544741)
1119987113,36.5640929,139.8941521,4,traffic_signals,POINT (139.8941521 36.5640929)
1119987134,36.5494785,139.89094,5,traffic_signals,POINT (139.89094 36.5494785)
1119987140,36.5646637,139.881015,4,traffic_signals,POINT (139.881015 36.5646637)
1119987173,36.5703772,139.9093028,4,,POINT (139.9093028 36.5703772)
1119987191,36.5579303,139.8879218,3,,POINT (139.8879218 36.5579303)
1119987222,36.5610586,139.891905,3,,POINT (139.891905 36.5610586)
1119987246,36.5697181,139.9089434,3,,POINT (139.9089434 36.5697181)
1119987303,36.561678,139.8881046,3,,POINT (139.8881046 36.561678)
1119987319,36.5710526,139.90934,3,,POINT (139.90934 36.5710526)
1119987440,36.5515689,139.8862665,5,traffic_signals,POINT (139.8862665 36.5515689)
1119987524,36.5606441,139.8938784,3,,POINT (139.8938784 36.5606441)
1119987541,36.558941,139.884105,3,traffic_signals,POINT (139.884105 36.558941)
1119987567,36.5659084,139.9119462,3,traffic_signals,POINT (139.9119462 36.5659084)
1119987599,36.5612318,139.8858605,3,traffic_signals,POINT (139.8858605 36.5612318)
1119987666,36.5703081,139.8888666,3,,POINT (139.8888666 36.5703081)
1119987682,36.5567477,139.887869,4,traffic_signals,POINT (139.887869 36.5567477)
1119987697,36.5613204,139.8905782,4,,POINT (139.8905782 36.5613204)
1119987711,36.5674263,139.8885652,3,,POINT (139.8885652 36.5674263)
1119987733,36.5601784,139.8964984,3,,POINT (139.8964984 36.5601784)
1119987735,36.5554335,139.8876831,4,traffic_signals,POINT (139.8876831 36.5554335)
1119987739,36.5780833,139.8900726,3,traffic_signals,POINT (139.8900726 36.5780833)
1119987764,36.5555304,139.8856117,3,,POINT (139.8856117 36.5555304)
1119987768,36.5642382,139.8869742,4,traffic_signals,POINT (139.8869742 36.5642382)
1119987790,36.5678219,139.8923491,4,traffic_signals,POINT (139.8923491 36.5678219)
1119987820,36.5456723,139.8972208,4,traffic_signals,POINT (139.8972208 36.5456723)
1119987832,36.5683087,139.8898215,4,traffic_signals,POINT (139.8898215 36.5683087)
1119987836,36.5644258,139.8843875,4,traffic_signals,POINT (139.8843875 36.5644258)
1119987850,36.5542657,139.8907003,3,,POINT (139.8907003 36.5542657)
1119987874,36.5611392,139.8868045,3,traffic_signals,POINT (139.8868045 36.5611392)
1119987931,36.5531533,139.8844889,4,traffic_signals,POINT (139.8844889 36.5531533)
1119987943,36.5658856,139.9085683,3,traffic_signals,POINT (139.9085683 36.5658856)
1119987948,36.5441381,139.8800264,3,traffic_signals,POINT (139.8800264 36.5441381)
1119987954,36.5670354,139.8953502,4,,POINT (139.8953502 36.5670354)
1119987983,36.5615141,139.8830248,4,traffic_signals,POINT (139.8830248 36.5615141)
1119987986,36.5736371,139.8824487,3,traffic_signals,POINT (139.8824487 36.5736371)
1119987994,36.5683695,139.8886598,3,,POINT (139.8886598 36.5683695)
1119988018,36.5617114,139.8868657,3,,POINT (139.8868657 36.5617114)
1119988021,36.5660415,139.9067542,3,traffic_signals,POINT (139.9067542 36.5660415)
1119988031,36.574895,139.8886693,4,traffic_signals,POINT (139.8886693 36.574895)
1119988049,36.5702573,139.8899748,4,traffic_signals,POINT (139.8899748 36.5702573)
1119988056,36.5601376,139.8884039,4,,POINT (139.8884039 36.5601376)
1119988066,36.569769,139.9086147,4,,POINT (139.9086147 36.569769)
1119988144,36.5515019,139.8846346,4,traffic_signals,POINT (139.8846346 36.5515019)
1119988189,36.5546269,139.8863166,3,,POINT (139.8863166 36.5546269)
1119988234,36.5533871,139.8944236,4,traffic_signals,POINT (139.8944236 36.5533871)
1119988277,36.5546246,139.8879478,4,traffic_signals,POINT (139.8879478 36.5546246)
1119988292,36.5530971,139.8868493,4,traffic_signals,POINT (139.8868493 36.5530971)
1119988336,36.5645821,139.8822181,4,traffic_signals,POINT (139.8822181 36.5645821)
1119988350,36.570956,139.9096181,3,,POINT (139.9096181 36.570956)
1119988369,36.553113,139.8859065,3,,POINT (139.8859065 36.553113)
1119988385,36.5580347,139.88793,4,,POINT (139.88793 36.5580347)
1119988402,36.5703011,139.9096463,4,,POINT (139.9096463 36.5703011)
1119988430,36.5539718,139.8924274,3,,POINT (139.8924274 36.5539718)
1119988454,36.5627694,139.8870317,3,,POINT (139.8870317 36.5627694)
1119988457,36.5708416,139.909955,3,,POINT (139.909955 36.5708416)
1119988482,36.5778576,139.8899095,3,,POINT (139.8899095 36.5778576)
1119988495,36.5546222,139.8874084,4,traffic_signals,POINT (139.8874084 36.5546222)
1119988496,36.5654117,139.8896786,3,,POINT (139.8896786 36.5654117)
1158891958,36.5491996,139.8798608,4,traffic_signals,POINT (139.8798608 36.5491996)
1158892051,36.560478,139.8798488,4,traffic_signals,POINT (139.8798488 36.560478)
1158955793,36.558313,139.8856161,4,traffic_signals,POINT (139.8856161 36.558313)
1158955795,36.5578609,139.887917,3,,POINT (139.887917 36.5578609)
1158955807,36.5597601,139.8875638,3,,POINT (139.8875638 36.5597601)
1158955808,36.5584685,139.8872372,3,,POINT (139.8872372 36.5584685)
1158955810,36.5574257,139.8870132,4,,POINT (139.8870132 36.5574257)
1158955820,36.5569395,139.8853315,3,,POINT (139.8853315 36.5569395)
1158955824,36.5556225,139.8866522,3,,POINT (139.8866522 36.5556225)
1158955836,36.5570485,139.8867509,3,,POINT (139.8867509 36.5570485)
1158955865,36.5498573,139.8838654,3,,POINT (139.8838654 36.5498573)
1158955870,36.5502297,139.8844515,3,,POINT (139.8844515 36.5502297)
1158955872,36.5503009,139.8838007,3,,POINT (139.8838007 36.5503009)
1158955873,36.5501235,139.8830398,3,,POINT (139.8830398 36.5501235)
1158955880,36.5493364,139.8838545,3,,POINT (139.8838545 36.5493364)
1158955883,36.5491786,139.8831968,3,,POINT (139.8831968 36.5491786)
1158955890,36.5488771,139.8813139,4,,POINT (139.8813139 36.5488771)
1158955907,36.5574705,139.8861393,3,,POINT (139.8861393 36.5574705)
1158955909,36.5573865,139.8879207,3,,POINT (139.8879207 36.5573865)
1158955911,36.5587048,139.8841084,3,,POINT (139.8841084 36.5587048)
1158955926,36.5509509,139.8828212,4,,POINT (139.8828212 36.5509509)
1158955929,36.5531221,139.8855252,3,,POINT (139.8855252 36.5531221)
1158955933,36.5511113,139.8857491,3,,POINT (139.8857491 36.5511113)
1158955935,36.5510348,139.8859333,4,,POINT (139.8859333 36.5510348)
1158955947,36.5504933,139.8854624,3,,POINT (139.8854624 36.5504933)
1158955953,36.5486494,139.8841439,4,,POINT (139.8841439 36.5486494)
1158955955,36.5510226,139.8846776,4,,POINT (139.8846776 36.5510226)
1158955957,36.5493521,139.8842211,1,,POINT (139.8842211 36.5493521)
1158955973,36.5516975,139.8805439,3,,POINT (139.8805439 36.5516975)
1158955975,36.5529869,139.8803355,3,,POINT (139.8803355 36.5529869)
1158955978,36.5530175,139.881206,3,,POINT (139.881206 36.5530175)
1158955980,36.5513354,139.8813924,4,,POINT (139.8813924 36.5513354)
1158955981,36.5508363,139.8813745,3,,POINT (139.8813745 36.5508363)
1158955982,36.55017,139.8814184,3,,POINT (139.8814184 36.55017)
1158955983,36.5497837,139.8813277,3,,POINT (139.8813277 36.5497837)
1158955984,36.5492169,139.881313,3,,POINT (139.881313 36.5492169)
1158955993,36.5507817,139.8796914,4,,POINT (139.8796914 36.5507817)
1158955994,36.5497584,139.8797966,3,,POINT (139.8797966 36.5497584)
1158956015,36.5542229,139.880898,3,,POINT (139.880898 36.5542229)
1158956017,36.5543419,139.8821411,3,,POINT (139.8821411 36.5543419)
1158956019,36.5553111,139.8803622,3,,POINT (139.8803622 36.5553111)
1158956025,36.5540075,139.8821985,3,,POINT (139.8821985 36.5540075)
1158956027,36.5540369,139.8826219,3,,POINT (139.8826219 36.5540369)
1158956029,36.553312,139.8827634,4,traffic_signals,POINT (139.8827634 36.553312)
1158956042,36.5529445,139.8845041,3,,POINT (139.8845041 36.5529445)
1158956056,36.5589645,139.8836087,3,,POINT (139.8836087 36.5589645)
1158956058,36.5573932,139.8836402,3,,POINT (139.8836402 36.5573932)
1158956059,36.5583393,139.8801743,3,,POINT (139.8801743 36.5583393)
1158956060,36.5555001,139.8800465,3,,POINT (139.8800465 36.5555001)
1158956062,36.5551267,139.8820053,3,,POINT (139.8820053 36.5551267)
1158956066,36.5568209,139.8829801,3,,POINT (139.8829801 36.5568209)
1158956067,36.5568178,139.8842172,3,,POINT (139.8842172 36.5568178)
1158956068,36.556721,139.8852898,3,,POINT (139.8852898 36.556721)
1158956069,36.5597698,139.881971,4,traffic_signals,POINT (139.881971 36.5597698)
1158956070,36.5582796,139.8819874,4,traffic_signals,POINT (139.8819874 36.5582796)
1158956071,36.559059,139.8809302,3,,POINT (139.8809302 36.559059)
1158956072,36.559014,139.8824529,3,,POINT (139.8824529 36.559014)
1158956073,36.560167,139.8842462,1,,POINT (139.8842462 36.560167)
1158956074,36.55607,139.8820397,4,traffic_signals,POINT (139.8820397 36.55607)
1158956077,36.5513976,139.8826863,4,,POINT (139.8826863 36.5513976)
1158956078,36.5573192,139.8824823,3,,POINT (139.8824823 36.5573192)
1158956079,36.5609844,139.8875948,3,,POINT (139.8875948 36.5609844)
1158956080,36.5598069,139.8873252,3,,POINT (139.8873252 36.5598069)
1158956082,36.5601575,139.8809099,3,,POINT (139.8809099 36.5601575)
1158956083,36.5598821,139.881484,3,,POINT (139.881484 36.5598821)
1158956084,36.5597501,139.8830087,3,,POINT (139.8830087 36.5597501)
1158956089,36.5583172,139.8809595,3,,POINT (139.8809595 36.5583172)
1158956091,36.5582207,139.8855932,3,,POINT (139.8855932 36.5582207)
1158956094,36.5582983,139.881547,3,,POINT (139.881547 36.5582983)
1158956120,36.5610314,139.8804915,3,,POINT (139.8804915 36.5610314)
1158956123,36.5604903,139.8859049,4,traffic_signals,POINT (139.8859049 36.5604903)
1158956139,36.5615595,139.8821799,3,,POINT (139.8821799 36.5615595)
1158956164,36.561366,139.8842104,3,,POINT (139.8842104 36.561366)
1158956171,36.5601982,139.8839829,1,,POINT (139.8839829 36.5601982)
1158956177,36.5611067,139.8869704,3,traffic_signals,POINT (139.8869704 36.5611067)
1158956245,36.5604445,139.8804334,3,traffic_signals,POINT (139.8804334 36.5604445)
1158956253,36.5596832,139.8882879,3,traffic_signals,POINT (139.8882879 36.5596832)
1158956264,36.5616414,139.8805456,3,,POINT (139.8805456 36.5616414)
1158979230,36.5614786,139.8835134,3,,POINT (139.8835134 36.5614786)
1158979239,36.5598769,139.8841822,4,,POINT (139.8841822 36.5598769)
1158979241,36.559746,139.8851406,4,,POINT (139.8851406 36.559746)
1158979246,36.5591936,139.8865307,4,,POINT (139.8865307 36.5591936)
1158979248,36.5588531,139.8869349,3,,POINT (139.8869349 36.5588531)
1158979252,36.5584194,139.8871891,4,,POINT (139.8871891 36.5584194)
1158979267,36.5597784,139.8841678,3,,POINT (139.8841678 36.5597784)
1158979272,36.5591098,139.8864546,4,,POINT (139.8864546 36.5591098)
1158979275,36.5583436,139.8871271,3,,POINT (139.8871271 36.5583436)
1158979347,36.5603328,139.8820436,2,,POINT (139.8820436 36.5603328)
1158979349,36.5608735,139.8821032,3,,POINT (139.8821032 36.5608735)
1159008518,36.5567433,139.89465,3,,POINT (139.89465 36.5567433)
1159008519,36.5553096,139.8940946,3,,POINT (139.8940946 36.5553096)
1159008520,36.5571387,139.8935303,3,,POINT (139.8935303 36.5571387)
1159008521,36.5555753,139.8932213,4,,POINT (139.8932213 36.5555753)
1159008522,36.5581319,139.8930163,4,,POINT (139.8930163 36.5581319)
1159008524,36.5572295,139.8955217,4,traffic_signals,POINT (139.8955217 36.5572295)
1159008525,36.5566906,139.8973001,3,,POINT (139.8973001 36.5566906)
1159008526,36.5585158,139.8944018,3,,POINT (139.8944018 36.5585158)
1159008527,36.5580365,139.8957818,4,,POINT (139.8957818 36.5580365)
1159008531,36.5498876,139.886915,3,,POINT (139.886915 36.5498876)
1159008539,36.5578958,139.8926816,3,,POINT (139.8926816 36.5578958)
1159008540,36.5575271,139.8924364,3,,POINT (139.8924364 36.5575271)
1159008543,36.5560834,139.8919467,4,traffic_signals,POINT (139.8919467 36.5560834)
1159008544,36.5565369,139.8952803,3,,POINT (139.8952803 36.5565369)
1159008545,36.5502452,139.8901077,3,,POINT (139.8901077 36.5502452)
1159008549,36.5507655,139.8917583,3,,POINT (139.8917583 36.5507655)
1159008551,36.5519612,139.8919573,3,,POINT (139.8919573 36.5519612)
1159008552,36.5502544,139.89181,3,,POINT (139.89181 36.5502544)
1159008553,36.5521187,139.8941545,3,,POINT (139.8941545 36.5521187)
1159008555,36.5510679,139.8936247,3,,POINT (139.8936247 36.5510679)
1159008558,36.5471011,139.8874877,3,,POINT (139.8874877 36.5471011)
1159008562,36.5475115,139.8852391,3,,POINT (139.8852391 36.5475115)
1159008565,36.5494765,139.8864637,3,,POINT (139.8864637 36.5494765)
1159008566,36.5540062,139.8878411,3,,POINT (139.8878411 36.5540062)
1159008568,36.5530808,139.8873514,4,traffic_signals,POINT (139.8873514 36.5530808)
1159008569,36.5522516,139.8870823,3,,POINT (139.8870823 36.5522516)
1159008570,36.5520281,139.8868582,4,,POINT (139.8868582 36.5520281)
